screen_size,rear_camera_mp,front_camera_mp,internal_memory,ram,battery,weight,release_year,days_used,used_price,new_price
16.23,13.0,32.0,128.0,8.0,3500.0,171.0,2019,520,364.87462403455,405.40436803505
16.23,13.0,32.0,128.0,8.0,3500.0,171.0,2019,210,364.43198543217,399.57802680074
15.34,13.0,24.0,128.0,6.0,4000.0,178.0,2019,539,351.78801206898004,377.5108676099
15.34,13.0,16.0,64.0,4.0,4000.0,178.0,2019,244,328.50193404711,382.68281117462
16.74,13.0,16.0,64.0,4.0,4000.0,196.8,2019,330,330.15608718531,382.88132901421
10.16,5.0,2.0,16.0,4.0,1700.0,136.1,2014,610,268.86230531683,319.24665338552
17.78,3.15,0.3,8.0,1.0,4100.0,350.0,2013,835,294.40323146177,340.36725033165
12.7,5.0,0.3,8.0,0.5,3000.0,147.6,2016,704,238.30668365692998,278.59928519042
15.47,8.0,5.0,16.0,2.0,4000.0,172.0,2019,531,281.50026660772,312.53307112507
20.32,13.0,5.0,16.0,2.0,5100.0,305.0,2019,233,306.63032041097995,344.83308398416
20.32,5.0,2.0,16.0,2.0,5000.0,305.0,2019,349,298.14980660368997,335.96424252908
17.78,2.0,2.0,32.0,1.0,3590.0,236.0,2019,524,258.49535690212997,312.08202186919
16.23,8.0,16.0,64.0,6.0,4000.0,159.0,2019,426,302.01132125417996,375.12248968367
16.23,8.0,32.0,128.0,6.0,4000.0,185.0,2019,401,363.18025602046,407.23088544573
15.32,8.0,16.0,64.0,4.0,4050.0,164.0,2019,424,308.38326514631,344.0282468535
16.59,5.0,16.0,64.0,4.0,4000.0,196.5,2020,195,321.89090648061995,379.96713747206996
15.44,5.0,13.0,64.0,3.0,4000.0,219.0,2020,126,320.57257338566995,359.71359177326
15.44,5.0,10.0,128.0,8.0,5000.0,218.0,2020,234,367.53216317786996,459.64915458445995
15.44,5.0,10.0,128.0,8.0,5000.0,213.0,2020,248,314.69167943716997,444.81689270785
15.37,5.0,13.0,32.0,3.0,4000.0,196.5,2020,205,287.44953662254994,372.36539726466
14.5,8.0,8.0,32.0,3.0,3450.0,170.0,2020,196,293.35437292065,330.24010822161995
15.34,8.0,32.0,256.0,8.0,4000.0,192.0,2019,471,393.13802106184994,475.59731086466996
15.34,8.0,16.0,64.0,4.0,4000.0,198.0,2019,517,336.54543294703,392.02102407149
13.84,8.0,5.0,16.0,2.0,3000.0,148.0,2019,438,296.61736095257,335.2660327909
13.84,8.0,5.0,16.0,1.0,3000.0,152.0,2019,393,274.61125101816,314.76422232528
15.27,8.0,13.0,32.0,2.0,3500.0,186.0,2019,273,298.55268505554,345.00220372057
15.37,8.0,13.0,32.0,3.0,4000.0,194.0,2019,344,319.72010995336,360.02908200726995
15.8,8.0,16.0,64.0,4.0,4050.0,172.0,2019,289,308.41222149493996,356.3075313608
15.9,8.0,16.0,32.0,3.0,4000.0,175.0,2019,482,304.6858107335,330.1718490284
15.72,8.0,8.0,32.0,3.0,4000.0,164.0,2019,516,278.83463653117997,318.67037999111994
15.29,13.0,5.0,32.0,3.0,3500.0,179.0,2019,463,283.23143084039,359.76117868711
15.29,16.0,5.0,64.0,4.0,3300.0,172.0,2018,693,338.83094569478,387.16253262585997
12.83,13.0,5.0,16.0,2.0,4500.0,171.0,2018,393,308.28182037339,352.75925545618
7.62,2.0,1.3,4.0,0.5,1540.0,140.45,2014,965,212.63550762601,266.95699505701
10.16,2.0,0.3,0.5,0.25,1500.0,146.5,2014,900,211.80004892560999,264.29351643717996
7.75,0.3,0.3,0.5,0.25,1500.0,89.0,2014,757,106.80707745048,250.32479397806
10.03,2.0,0.3,0.2,0.25,2000.0,85.0,2013,652,231.22386209522,289.90764766063995
10.16,2.0,0.3,16.0,4.0,2000.0,89.0,2013,1051,224.27151248519,277.34155171978995
7.75,0.3,0.3,16.0,4.0,2000.0,89.0,2013,897,193.74831459061,262.8366453803
16.56,0.3,8.0,64.0,3.0,4000.0,200.0,2020,296,282.55696223447995,339.31019308414
13.84,0.3,5.0,16.0,2.0,3000.0,180.0,2020,293,250.63054238674997,277.58129480024996
13.84,0.3,5.0,16.0,2.0,3000.0,180.0,2020,260,270.84158423521,313.60083913778
17.3,0.3,24.0,64.0,6.0,4500.0,220.0,2020,127,312.56711977296,422.01909410534
15.34,8.0,32.0,128.0,8.0,4025.0,181.0,2019,330,332.77428063282997,413.24938447649
15.37,8.0,8.0,128.0,4.0,4230.0,180.0,2019,277,306.57085461201996,340.01823768433997
15.34,8.0,25.0,128.0,6.0,3600.0,169.5,2019,344,342.07708790418997,382.88616366292996
15.34,8.0,32.0,128.0,4.0,4035.0,186.0,2019,463,345.88740608851,393.41597553738
16.59,8.0,16.0,128.0,6.0,4020.0,190.0,2019,336,341.74120538374,377.7172454208
15.39,8.0,16.0,256.0,8.0,4065.0,215.0,2019,232,380.18631998511,460.40597330113
15.27,8.0,5.0,32.0,2.0,4000.0,170.0,2019,282,273.19164577750996,313.2310496297
15.29,13.0,8.0,32.0,3.0,4230.0,168.0,2018,587,290.23003592080994,369.45332824956995
10.29,8.0,5.0,8.0,1.0,2000.0,135.0,2015,917,278.2277915488,339.00183502997
16.43,8.0,20.0,128.0,6.0,4000.0,171.0,2019,486,319.28983151425996,461.99437849
12.88,8.0,5.0,32.0,3.0,4000.0,168.0,2020,120,281.93988450538995,320.33010236051
12.7,8.0,5.0,16.0,1.0,2600.0,154.0,2020,226,277.1697870247,325.43474039213993
15.42,8.0,32.0,128.0,8.0,4500.0,185.0,2020,258,374.46895406362,422.32407051315
15.37,8.0,32.0,128.0,6.0,4500.0,187.0,2020,248,348.12585937937996,411.6667739121
15.29,8.0,13.0,128.0,8.0,4000.0,168.1,2020,282,385.62685717513995,460.479265644
12.73,12.0,8.0,64.0,4.0,4500.0,256.0,2019,320,311.7314202637,470.45312048710997
15.42,12.0,32.0,128.0,6.0,4500.0,187.0,2019,325,336.54543294703,403.12125638117
15.32,12.0,10.0,256.0,12.0,3500.0,168.0,2019,190,339.39279751785,475.61644104376
20.32,8.0,2.0,32.0,2.0,5100.0,169.0,2019,313,270.57677842597,330.46017016915994
12.7,16.0,5.0,32.0,3.0,2800.0,172.0,2019,222,302.51051605157,377.38254521345
20.32,5.0,2.0,16.0,2.0,4200.0,338.0,2015,852,319.529894315,366.82542733918996
16.59,2.0,16.0,64.0,4.0,4000.0,193.0,2020,168,292.96478744383995,369.15809258052
15.77,2.0,5.0,64.0,4.0,4000.0,184.7,2020,299,295.96849305846,330.80454734778
20.32,0.3,2.0,16.0,1.0,3600.0,330.0,2020,290,275.27471759288,304.80803345375
15.44,2.0,8.0,32.0,2.0,3500.0,191.6,2020,243,270.97988104872996,349.08692265012
17.78,8.0,0.3,8.0,1.0,2000.0,242.0,2019,513,191.68063736105,263.07693493253
12.88,8.0,5.0,16.0,2.0,2700.0,138.0,2019,440,283.52441739815004,314.15510059224
16.23,8.0,16.0,64.0,4.0,3450.0,176.6,2019,335,339.25506761700996,399.47775714245995
20.32,2.0,2.0,32.0,3.0,4000.0,355.0,2020,221,300.4506579115,312.79141360005997
20.32,2.0,2.0,32.0,2.0,4000.0,355.0,2020,276,285.94490317238,297.89678840852
15.24,13.0,2.0,16.0,2.0,3230.0,196.0,2014,840,308.28182037339,360.40372619752
15.24,13.0,2.0,16.0,2.0,3300.0,196.0,2014,1073,293.91219537178,374.94611057199
15.24,8.0,8.0,32.0,1.0,2800.0,185.0,2019,513,292.30741205657,295.50619213423
12.83,8.0,8.0,32.0,1.0,2200.0,158.0,2019,213,283.24191641603,286.76612243606996
12.7,5.0,5.0,32.0,1.0,3400.0,146.0,2019,184,255.62809945501,264.59773605594995
10.29,5.0,0.3,4.0,0.5,1760.0,136.0,2013,1091,275.2982933643,360.18796750295
12.83,13.0,5.0,32.0,3.0,4200.0,206.5,2020,214,325.75505794058995,387.41400525734
